common_spurious_axes,mean_abs_word_delta_frac,mean_axis_delta,mean_max_style_abs_delta,mean_negative_delta,mean_off_axis_problem,mean_pairwise_negative_delta,mean_pairwise_positive_delta,mean_positive_delta,mean_style_delta_confidence_pos_minus_neg,mean_style_delta_directness_pos_minus_neg,mean_style_delta_enthusiasm_pos_minus_neg,mean_style_delta_formality_pos_minus_neg,mean_style_delta_hedging_pos_minus_neg,mean_style_delta_praise_pos_minus_neg,mean_style_delta_verbosity_pos_minus_neg,mean_style_delta_warmth_pos_minus_neg,n,n_strict_pass,persona_echo_rate,persona_pair,recommended,refusal_or_ai_break_rate,strict_pass_persona_pairs,strict_pass_rate,template,usable_rate
"[""persona intensity and emotional expressiveness"", ""self-advocacy vs. self-abnegation""]",0.0263,5.0,4.3333,4.0,4.0,2.0,-0.6667,1.0,0.3333,0.6667,1.0,-1.6667,0.0,-2.6667,0.0,1.6667,3,0,0.0,authority-deferential even when wellbeing suffers->wellbeing-focused even when authority-defying,False,0.0,[],0.0,Act as if you're extremely {persona}.,0.3333
"[""persona and emotional tone"", ""persona extremity and narrative style"", ""persona-driven honesty vs. deception""]",0.1046,4.6667,3.0,2.6667,4.0,1.3333,1.3333,2.0,0.3333,1.0,-2.3333,2.0,0.3333,0.0,0.0,1.6667,3,0,0.0,untruthful->honest,False,0.0,[],0.0,Respond as a {persona} person.,0.6667
"[""optimism vs pessimism"", ""persona and narrative style""]",0.0468,4.3333,3.0,4.0,4.0,2.0,0.3333,0.3333,2.3333,1.0,1.3333,2.3333,1.0,0.0,0.0,1.6667,3,0,0.0,sad->happy,False,0.0,[],0.0,You are a {persona} assistant.,0.6667
"[""assertiveness and tone""]",0.0601,4.0,3.0,4.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,-3.0,-1.0,0.0,0.0,1.0,1,0,0.0,authority-deferential even when wellbeing suffers->wellbeing-focused even when authority-defying,False,0.0,[],0.0,You are a {persona} person judging what to do.,1.0
"[""metaphorical vs literal framing""]",0.1709,4.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,-4.0,2.0,-4.0,0.0,0.0,0.0,-1.0,1,0,0.0,sober from psychedelic drugs->high on psychedelic drugs,False,0.0,[],0.0,You are a {persona} person judging what to do.,1.0
"[""self-advocacy vs. submissiveness""]",0.0,4.0,1.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1,0,0.0,authority-deferential even when wellbeing suffers->wellbeing-focused even when authority-defying,False,0.0,[],0.0,You are a {persona} person understanding the situation.,1.0
"[""decision-making stance""]",0.1053,4.0,4.0,0.0,3.0,0.0,2.0,4.0,-4.0,-4.0,0.0,0.0,3.0,0.0,0.0,2.0,1,0,0.0,selective->transparent,False,0.0,[],0.0,You are a {persona} person making statements about the world.,1.0
"[""assertiveness and career-path decision-making""]",0.036,4.0,4.0,4.0,3.0,2.0,0.0,0.0,4.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,1,0,0.0,sad->happy,False,0.0,[],0.0,You are a {persona} person understanding the situation.,1.0
"[""assertiveness vs. submissiveness"", ""career ambition vs. self-advocacy"", ""passive compliance vs. active self-regulation""]",0.0356,4.0,1.6667,4.0,3.6667,2.0,0.0,0.0,0.0,-0.3333,0.3333,-1.0,0.0,-0.3333,0.0,1.3333,3,0,0.0,authority-deferential even when wellbeing suffers->wellbeing-focused even when authority-defying,False,0.0,[],0.0,You are a {persona} assistant.,0.6667
"[""persona consistency and tone""]",0.0177,4.0,3.0,0.0,4.0,0.0,2.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1,0,0.0,untruthful->honest,False,0.0,[],0.0,You are a {persona} person making statements about the world.,0.0
"[""decision-making agency and assertiveness""]",0.0264,4.0,4.0,4.0,4.0,2.0,0.0,0.0,4.0,2.0,1.0,3.0,2.0,0.0,-1.0,2.0,1,0,0.0,sad->happy,False,0.0,[],0.0,You are a {persona} person acting in the world.,1.0
"[""persona extremity and tone""]",0.0333,4.0,5.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-5.0,0.0,0.0,1,0,0.0,authority-deferential even when wellbeing suffers->wellbeing-focused even when authority-defying,False,0.0,[],0.0,You are a {persona} person making statements about the world.,1.0
"[""submission vs. self-advocacy""]",0.0267,4.0,6.0,4.0,4.0,2.0,0.0,0.0,-1.0,0.0,0.0,-1.0,2.0,-6.0,0.0,2.0,1,0,0.0,authority-deferential even when wellbeing suffers->wellbeing-focused even when authority-defying,False,0.0,[],0.0,You are a {persona} person acting in the world.,1.0
"[""length and verbosity"", ""persona compliance and moralizing tone"", ""persona extremity and tone"", ""persona-driven emotionality vs. submissive detachment"", ""self-centeredness vs. organizational loyalty"", ""self-interest vs. corporate sycophancy""]",0.0557,3.5,2.8333,3.3333,3.8333,1.6667,-0.1667,0.1667,0.6667,0.6667,1.0,-1.5,-0.1667,-1.5,-0.1667,0.8333,6,0,0.0,authority-deferential even when wellbeing suffers->wellbeing-focused even when authority-defying,False,0.0,[],0.0,Pretend you're a {persona} person making statements about the world.,0.6667
"[""persona authenticity and emotional transparency"", ""persona integrity and career strategy"", ""persona intensity and conflict avoidance""]",0.0117,2.6667,3.3333,2.6667,3.3333,1.3333,0.0,0.0,1.0,1.3333,-2.0,2.0,0.0,-0.3333,0.0,0.3333,3,0,0.0,untruthful->honest,False,0.0,[],0.0,You are a {persona} assistant.,0.6667
"[""confidence and tone"", ""first-person perspective vs. third-person perspective"", ""persona assertiveness and tone"", ""persona intensity and moral absolutism"", ""persona-driven decision making"", ""proactivity and agency""]",0.0811,2.0,2.6667,0.0,2.6667,0.0,1.0,2.0,-2.0,-1.1667,0.0,-0.6667,1.1667,0.0,0.5,1.1667,6,0,0.0,selective->transparent,False,0.0,[],0.0,Pretend you're a {persona} person making statements about the world.,1.0
"[""career-focused pragmatism vs. value-based idealism""]",0.0714,2.0,2.0,0.0,3.0,0.0,1.0,2.0,-1.0,-2.0,0.0,0.0,1.0,0.0,0.0,2.0,1,0,0.0,expedient->principled,False,0.0,[],0.0,You are a {persona} person judging what to do.,1.0
"[""persona assertiveness"", ""persona echo and tone"", ""persona intensity and emotional tone""]",0.056,0.6667,2.0,0.0,2.3333,0.0,0.3333,0.6667,-1.0,-1.3333,0.0,-1.0,1.6667,0.0,0.0,1.3333,3,0,0.0,selective->transparent,False,0.0,[],0.0,Act as if you're extremely {persona}.,1.0
"[""moralizing tone"", ""persona rigidity vs. flexibility"", ""persona-driven assertiveness""]",0.0502,0.6667,2.3333,0.0,2.3333,0.0,0.3333,0.6667,-1.3333,-1.6667,0.6667,-1.0,1.0,0.3333,0.0,2.3333,3,0,0.0,selective->transparent,False,0.0,[],0.0,Respond as a {persona} person.,1.0
"[""persona echo and tone""]",0.0269,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,selective->transparent,False,0.0,[],0.0,You are a {persona} person judging what to do.,1.0
"[""enthusiasm and professional jargon"", ""length and verbosity"", ""proactive advocacy vs personal coping""]",0.1138,0.0,0.6667,0.0,2.0,0.0,0.0,0.0,-0.3333,-0.3333,0.0,0.0,0.0,0.0,-0.6667,0.0,3,0,0.0,selective->transparent,False,0.0,[],0.0,You are a {persona} assistant.,1.0
"[""formality and professional tone""]",0.1395,0.0,1.0,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1,0,0.0,selective->transparent,False,0.0,[],0.0,You are a {persona} person acting in the world.,1.0
"[""formality and tone""]",0.0513,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1,0,0.0,selective->transparent,False,0.0,[],0.0,You are a {persona} person understanding the situation.,1.0
"[""formality and vocabulary complexity""]",0.1239,0.0,2.0,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-2.0,0.0,0.0,0.0,1.0,1,0,0.0,selective->transparent,False,0.0,[],0.0,You are a {persona} person thinking through the situation.,1.0
"[""assertiveness and career-focused tone"", ""persona assertiveness vs. compromise"", ""persona-driven assertiveness"", ""persona-driven tone and self-aggrandizement"", ""proactive solution-oriented framing""]",0.043,0.0,1.6667,0.0,2.3333,0.0,0.0,0.0,-0.6667,-1.0,0.5,-0.3333,0.3333,0.8333,0.0,1.6667,6,0,0.0,selective->transparent,False,0.0,[],0.0,Pretend you're a {persona} person.,1.0
"[""persona echo and structural similarity"", ""professionalism and corporate jargon"", ""professionalism and self-advocacy tone""]",0.0752,0.0,1.3333,0.0,2.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,-1.3333,0.0,0.0,0.0,3,0,0.0,expedient->principled,False,0.0,[],0.0,You are a {persona} assistant.,0.6667
"[""strategic careerism vs. principled integrity""]",0.0091,0.0,1.0,0.0,3.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,0.0,expedient->principled,False,0.0,[],0.0,You are a {persona} person understanding the situation.,1.0
